全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
1407,きゅう理論,1407,第28回,問題151,1 灸の基礎知識,A. 灸の材料,良質艾の精製工程で最も時間をかけて不純物を取り除くのはどれか。,1. 裁断機,2. 石臼,3. けんどん（長唐箕）,4. 唐箕,4,**唐箕**は、風力で艾に含まれる不純物を除去し、精製するものである。問題3の解説参照。
1408,きゅう理論,1408,第30回,問題171,1 灸の基礎知識,A. 灸の材料,艾の製造工程で使用する用具と用途の組み合わせで正しいのはどれか。,1. 裁断機 ── 夾雑物をふるい落とす。,2. 石臼 ── 葉脈を除去する。,3. けんどん（長唐箕） ── 乾燥したヨモギを粉砕する。,4. 唐箕 ── 毛茸の表面付着物を除去する。,4,1：夾雑物のうち葉柄や葉脈など比較的大きいものをふるい落とすのは**けんどん**（長唐箕）である。問題3の解説参照。
1409,きゅう理論,1409,第31回,問題171,1 灸の基礎知識,A. 灸の材料,艾の製造工程で艾葉から毛茸を剥離するのに用いるのはどれか。,1. 裁断機,2. 石臼,3. けんどん,4. 唐箕,2,艾の製造工程は、乾燥したヨモギの葉を裁断し、石臼で挽いて、けんどいや長通し、円通しなどと呼ばれる篩にかけて葉柄や葉脈などの比較的大きな夾雑物を除き、更に唐箕にかけて風力・遠心力・叩打力により細かな夾雑物を除く。最終工程の唐箕の段階が最も時間をかけて行われる。艾の成分となる毛茸・腺毛と、夾雑物を分けるのは篩と唐箕の段階で、裁断と石臼では分別はされない。石臼は、篩以降の分別的前段階において、葉から毛茸等を剥離する役割がある。石臼での挽き方、篩と唐箕にかける時間などの調節により、さまざまな精製度の艾が製造される。
1410,きゅう理論,1410,第34回,問題171,1 灸の基礎知識,A. 灸の材料,艾の製造工程において、けんどんの用途はどれか。,1. 夾雑物をふるい落とす。,2. 艾葉から毛茸を剥離する。,3. 乾燥したヨモギを粉砕する。,4. 毛茸表面付着物を除去する。,1,問題2の解説参照。
1411,きゅう理論,1411,第31回,問題172,1 灸の基礎知識,A. 灸の材料,施灸に用いる線香について誤っているのはどれか。,1. 原料にはタブ粉を用いる。,2. 生産量が最も多いのは兵庫県である。,3. 湿気を含むと折れにくい。,4. 途中で消えないものが望ましい。,3,**兵庫県**の淡路島は、線香の生産量日本一を占める。タブの樹皮や葉、または**杉**の葉が原料となる。灸に使用される線香は、仏事用のものよりも一般的に太く、施術中に持っていても折れにくくなっている。線香は湿気ると柔らかくなり折れやすくなる。よって誤りは3である。
1412,きゅう理論,1412,第25回,問題151,1 灸の基礎知識,A. 灸の材料,透熱灸に用いる艾で最も適切なのはどれか。,1. 黒褐色である。,2. 繊維が粗い。,3. 葉柄が多い。,4. 灰分が少ない。,4,透熱灸に用いるのは、良質艾である。良質艾の特徴は、色が1：淡黄白色で、2：繊維は細かい。3：葉柄などの夾雑物や4：**灰分が少ない**である。
1413,きゅう理論,1413,第32回,問題171,1 灸の基礎知識,A. 灸の材料,透熱灸に用いる艾の品質で最も適切なのはどれか。,1. 湿気を帯びている。,2. 夾雑物が多い。,3. 淡黄白色である。,4. 灰分が多い。,3,透熱灸は高精製艾（良質艾）を用いる。**高精製艾**は淡黄白色で、水分含有量は少なく、夾雑物・灰分は少ない。よって正解は3である。他の選択肢は低精製艾の特徴である。
1414,きゅう理論,1414,第33回,問題171,1 灸の基礎知識,A. 灸の材料,透熱灸に用いる艾について正しいのはどれか。,1. 夾雑物が多い。,2. 灰分が多い。,3. 精油成分が多い。,4. 黒褐色である。,3,透熱灸には**精製度の高い艾**を用いる。夾雑物は少なく、灰分は少なく、精油成分は多く、淡黄白色である。
1415,きゅう理論,1415,第34回,問題172,1 灸の基礎知識,A. 灸の材料,灸術で最も精製度が高い艾を用いるのはどれか。,1. 温灸,2. 押灸,3. 隔物灸,4. 糸状灸,4,精製度の高いモグサは患者の皮膚（治療穴）に直接のせて施灸する**透熱灸**や**知熱灸**に用いられる。米粒大や半米粒大の大きさの七分灸や八分灸、糸状灸などで使用される。1、2、3：温灸、押灸、隔物灸などの熱源と皮膚の間に隔物や空間があるものは火力が強い精製度の低いモグサが適している。
1416,きゅう理論,1416,第25回,問題152,1 灸の基礎知識,A. 灸の材料,艾柱の燃焼について正しいのはどれか。,1. 良質艾では燃焼時間が長くなる。,2. 粗悪艾では最高温度が低くなる。,3. 硬くひねると温度の上昇がゆっくりになる。,4. 柔らかくひねると熱感が強くなる。,3,3：硬くひねると温度の上昇がゆっくりになる。1：良質艾では燃焼時間が**短くなる**。2：粗悪艾では最高温度が**高くなる**。4：柔らかくひねると熱感が**弱くなる**。
