全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
1304,はり理論,1,第27回,問題141,1 鍼の基礎知識,A. 毫鍼,2番鍼の太さはどれか。,1. 0.14mm,2. 0.16mm,3. 0.18mm,4. 0.20mm,3,"解説：2番鍼の太さ（線径）は**3：0.18mm（18号鍼と呼称する）**である。1：0.14mmは1番鍼（14号鍼）、2：0.16mmは1番鍼（16号鍼）、4：0.20mmは3番鍼（20号鍼）である。"
1305,はり理論,2,第31回,問題161,1 鍼の基礎知識,A. 毫鍼,2寸5分鍼を使用し、皮膚面に対し直刺で鍼体長の半分まで刺入したときの深度はどれか。,1. 20mm,2. 25mm,3. 30mm,4. 35mm,3,"解説：鍼体長2寸5分は60mmであるので、その半分の刺入深度は**30mm**である。"
1306,はり理論,3,第30回,問題161,1 鍼の基礎知識,A. 毫鍼,打鍼法で用いる鍼の鍼尖形状はどれか。,1. 卵形,2. 松葉形,3. ノゲ形,4. スリオロシ形,4,"解説：打鍼法は鍼尖の形状が**スリオロシ形**をした鍼を小槌で叩くものである。主に腹証に基づく腹部への施術に用いる治療法である。16世紀末に広く普及していたと考えられている。なお、打鍼法を広めたのは意斎と称される者であったがそれが御薗意斎であるかどうかについては明らかではない。"
1307,はり理論,4,第31回,問題162,1 鍼の基礎知識,A. 毫鍼,松葉形の鍼尖形状について正しいのはどれか。,1. スリオロシ形と柳葉形の中間,2. ノゲ形と卵形の中間,3. 卵形とスリオロシ形の中間,4. 柳葉形とノゲ形の中間,4,"解説：**スリオロシ形**は鍼体の途中から、ノゲ形は鍼先の上1.5cmから、**松葉形**は鍼尖の1.9mmから、**柳葉形**はノゲと松葉の中間、**卵形**は鍼尖の極小のように丸みをおびているものである。よって、鍼尖の形状を鋭利な順から並べると、スリオロシ、ノゲ、柳葉、松葉、卵、となる。松葉形は柳葉形と卵形の間にあるが、これは選択肢にはない。柳葉形は、ノゲ形1.5cmと松葉形9mmの中間なので単純計算すると鍼尖の上1.2cmから細くなる。卵形は丸く、ほぼ鋭利さがないと考えると、松葉形はノゲ形と卵形の中間とするのが妥当である。松葉形は東洋療法学校協会編『はりきゅう理論』第1版12刷では「鍼尖の少し上方から細くて、すぐ疼箱も少ない」とあったが、13刷では改訂され、中間のかたちではなくなった。2023年現在の第3版では「鍼尖の上部約9mmぐらいから細くして、ノゲ形に丸みをもたせたものである」となっている。鍼尖の上何mmからという記述は教科書の表現であり、実際は、鍼径によって、その距離は変化する。"
1308,はり理論,5,第34回,問題161,1 鍼の基礎知識,A. 毫鍼,毫鍼の部位で鍼脚とも呼ばれるのはどれか。,1. 鍼尖,2. 鍼体,3. 鍼根,4. 鍼柄,3,"解説：3：毫鍼の部位で鍼脚と呼ばれるのは**鍼根**である。1：鍼尖は**穂先**、2：鍼体は**穂**、4：鍼柄は**竜頭**もしくは**軸**と呼ばれる。"
1309,はり理論,6,第28回,問題141,1 鍼の基礎知識,A. 毫鍼,毫鍼について誤っているのはどれか。,1. 5番鍼の鍼体径は0.26mmである。,2. 2寸の鍼体長は60mmである。,3. 鍼尖の形状の一つに卵型がある。,4. 鍼体長は鍼尖から鍼根までをいう。,1,"解説：1：5番鍼の鍼体径は**3：0.24mm**（24号鍼と呼称する）である。鍼尖の形状の種類はスリオロシ形、ノゲ形、卵形、松葉形、柳葉形がある。"
1310,はり理論,7,第25回,問題141,1 鍼の基礎知識,A. 毫鍼,ステンレス鍼の特徴はどれか。,1. 刺入痛が少ない。,2. 曲がりやすい。,3. 酸化しやすい。,4. 低周波鍼通電療法に適する。,4,"解説：現在、使用されている鍼としては、ステンレス鍼以外に金鍼と銀鍼などがある。それらの鍼と比較すると、ステンレス鍼は**4：低周波鍼通電療法**に適している。しかし、ステンレス鍼であっても通電を想定していない製品もあるため、鍼通電を行う際には鍼の太さなどを十分考慮する必要がある。1：一般的に**金鍼**、**銀鍼**は刺入痛が少ないといわれている。しかし、現在のステンレス鍼は鍼尖の形状が改良・工夫されており、刺入痛は少なくなっている。そのため、客観性に乏しい選択肢である。2：曲がりやすい、3：酸化しやすいはステンレス鍼の特徴ではない。"
1311,はり理論,8,第30回,問題163,1 鍼の基礎知識,B. 古代九鍼,古代九鍼のうち三稜鍼のもとになったのはどれか。,1. 鍺鍼,2. 鈹鍼,3. 大鍼,4. 鑖鍼,1,"解説：三稜鍼は**1：鍺鍼**がもとになったとされている。なお、現在一般的に用いられている鍼は古代九鍼の毫鍼がもとになったとされている。"
1312,はり理論,9,第33回,問題161,1 鍼の基礎知識,B. 古代九鍼,古代九鍼で皮膚を切開するのはどれか。,1. 円鍼,2. 員利鍼,3. 鍺鍼,4. 鈹鍼,4,"解説：1：円鍼は、鍼尖は卵形、鍼体は円筒形で、擦過・圧迫に適する。病が分の間（筋肉と筋肉の間）にある時、組織を傷つけずに治療するのに用いられた。刺入しない鍼である。2：員利鍼は、鍼尖はスリオロシ形で鍼体は細くて丸い。急性の病証に用いられた。刺入する鍼である。日本では、打鍼にも用いられた。3：鍺鍼は、全体的には刀剣の形で、鍼尖は針の形であり、膿血を切開・排膿するのに用いられた。4：鈹鍼は、鍼尖は円形で、経絡や経穴を押圧する。軽く圧して気血の流通の改善をはかる。刺入しない鍼である。"
1313,はり理論,10,第29回,問題162,2 基本的な刺鍼方法 (刺鍼の術式),A. 刺鍼の基本操作 (刺鍼の術式),押手について正しいのはどれか。,1. 母指と示指が鍼体をつまむ圧を固定圧という。,2. 周囲圧に相当するのは水平圧である。,3. 皮膚の緊張度を調節する。,4. 刺入速度を調節する。,3,"解説：1：母指と示指が鍼体をつまむ圧を**水平圧**（左右圧）という。2：周囲圧に相当するのは**固定圧**である。4：刺入速度を調節するのは**刺手**である。3：押手により、刺入局所の組織の緊張感を感知し、緊張部位の固定の仕方を調節することで刺入を容易にする。"
