全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
719,リハビリテーション医学,1,第34回,問題78,1 リハビリテーションの概要,B. リハビリテーション医学,身体障害者福祉法に定められた身体障害でないのはどれか。,1. 肢体不自由,2. 視覚障害,3. 発達障害,4. 音声機能の障害,3,【解説】身体障害は、視覚障害、聴覚・平衡機能障害、音声・言語・そしゃく機能障害、肢体不自由、内部障害（心臓機能、腎臓機能、呼吸器機能、膀胱または直腸機能障害、小腸機能、免疫機能、肝臓機能障害）が対象で、発達障害や高次機能障害は含まれない。
720,リハビリテーション医学,2,第26回,問題82,1 リハビリテーションの概要,C. 障害の概念,ICFの「活動」に該当するのはどれか。,1. 復学,2. 家屋改修,3. 障害年金受給,4. 義足作製,4,"【解説】ICF（International Classification of Functioning, Disability and Health、国際生活機能分類）は生活機能モデルとして、2001年にWHOで採択され、「心身機能」・**「活動」**・「参加」の3つのレベルを統合したもの。前身の1980年の国際障害分類（ICIDH）の障害構造モデルでは、「機能・形態障害」、「能力障害」、「社会的不利」に分類されていた。ICFの**「活動」**は「生活行為」と置き換えられる。四肢・体幹の筋力増強訓練のような機能回復訓練、歩行訓練、トイレ訓練などが当てはまる。4：義足作製も含まれる。社会活動の「参加」に分類されるのが、1：復学、2：家屋改修、3：障害年金受給である。"
721,リハビリテーション医学,3,第34回,問題82,1 リハビリテーションの概要,C. 障害の概念,ICFの生活機能に含まれないのはどれか。,1. 疾病,2. 心身機能・身体構造,3. 活動,4. 参加,1,"【解説】問題2参照。ICFの生活機能に「心身機能・身体構造」「活動」「参加」が含まれる。疾病は含まれない。"
722,リハビリテーション医学,4,第33回,問題71,1 リハビリテーションの概要,C. 障害の概念,ICFの「活動」に該当するのはどれか。,1. 呼吸機能,2. 利き手交換,3. 復職,4. 家屋改修,2,"【解説】問題2解説参照。**活動**に該当するのは**利き手交換**で、利き手に麻痺がある場合、反対側をトレーニングする。呼吸機能は「心身機能」、復職、家屋改修は「参加」に該当する。"
723,リハビリテーション医学,5,第27回,問題73,1 リハビリテーションの概要,C. 障害の概念,障害モデルとして用いられているのはどれか。,1. ADL,2. ICF,3. MMT,4. QOL,2,"【解説】2：ICFは、生活機能モデルとして心身機能、活動、参加の3つのレベルを統合したもの。1：ADL（Activities of Daily Living）は日常生活動作、3：MMT（manual muscle test）は徒手筋力テスト、4：QOL（Quality of Life）は生活の質のこと。"
724,リハビリテーション医学,6,第25回,問題73,1 リハビリテーションの概要,D. リハビリテーションの分野,社会的リハビリテーションに含まれる内容はどれか。,1. 廃用症候群の予防,2. 療育,3. 公共施設のバリアフリー,4. 保護雇用,3,"【解説】リハビリテーションは、主に4分野（**医学的**、**教育的**、**職業的**、**社会的**）からなり、それぞれ1：廃用症候群の予防は医学的、2：療育は教育的、3：公共施設のバリアフリーは**社会的**、4：**保護雇用**は職業的リハビリテーションに含まれる。"
725,リハビリテーション医学,7,第30回,問題71,1 リハビリテーションの概要,D. リハビリテーションの分野,社会的リハビリテーションに該当するのはどれか。,1. 職業訓練,2. 特別支援教育,3. 二次的一般併発症の予防,4. 施設入所支援,4,"【解説】社会的リハビリテーションは障害者福祉に関するサービスと社会生活能力の向上を図るものである。障害者との面談など心理的なサポート、障害年金取得など経済的サポート、**施設入所**や訪問介護サービスなどの社会資源の有効利用を含む。職業訓練は職業的リハビリテーションに、特別支援教育は教育的リハビリテーションに、二次的合併症の予防は医学的リハビリテーションに該当する。"
726,リハビリテーション医学,8,第33回,問題82,1 リハビリテーションの概要,D. リハビリテーションの分野,社会的リハビリテーションに含まれる内容はどれか。,1. 家族への介護指導,2. 職場環境の整備,3. 個別の理学療法,4. 管理栄養士による栄養管理,2,"【解説】3：個別の理学療法は**医学的**リハビリテーションに、1：家族への介護指導と4：管理栄養士による栄養管理は**教育的**リハビリテーションに、2：職場環境の整備は**社会的**リハビリテーションに含まれる。問題7参照。"
727,リハビリテーション医学,9,第31回,問題71,1 リハビリテーションの概要,E. 地域リハビリテーション,リハビリテーションに重点が置かれている施設はどれか。,1. ケアハウス,2. グループホーム,3. 介護老人保健施設,4. 特別養護老人ホーム,3,"【解説】介護老人**保健施設（老健）**は、介護保険の適応になり、看護、医学的管理のもとに介護、**機能訓練**、医療などを行い短期で自宅へ復帰させることを目標とする施設。ケアハウスは「サービス付き高齢者**住宅**」。グループホームは**認知症**を有する地域の高齢者のための介護施設。特別養護老人ホーム（介護老人福祉施設）は身体上または精神上に著しい障害があり、常時介護が必要な重症老人の施設（終身まで入居可能）。"
728,リハビリテーション医学,10,第32回,問題71,1 リハビリテーションの概要,E. 地域リハビリテーション,介護保険によるサービスはどれか。,1. 生活介護,2. 自立訓練,3. 就労移行支援,4. 通所リハビリテーション,4,"【解説】通所リハビリテーションは、介護老人保健施設、病院、診療所などで行う居宅要介護者に対するリハビリテーションで介護保険によるサービスである。生活介護、自立訓練、就労移行支援は障害のある人を対象とした障害福祉サービスに当てはまる。"
