全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
369,臨床医学総論,1,第29回,問題47,1 症候,A. 全身の症候,反復する回転性めまいをきたしやすい疾患はどれか。,1. 貧血,2. 髄膜炎,3. メニエール病,4. 脳幹梗塞,3,"めまいは、平衡機能の反射系が障害され、姿勢の統御が困難になった状態を指す。内耳（前庭迷路）や前庭神経に原因のある末梢前庭性めまいには、**メニエール病**、**良性発作性めまい**、**前庭神経炎**などが原因となり、**回転感**を特徴とするが、小脳・脳幹に原因のある中枢性めまいは、**小脳脳幹出血**、**小脳脳幹梗塞**、**小脳腫瘍**などが原因となり、回転感がなく、方向の定まらない不安定感やフラフラした感じを特徴とする。"
370,臨床医学総論,2,第30回,問題48,1 症候,A. 全身の症候,めまいをきたす疾患はどれか。,1. メニエール病,2. パーキンソン病,3. クッシング病,4. ウィルソン病,1,"**問題369**を参照。基底核変性疾患として、2：パーキンソン病、4：ウィルソン病があり、どちらも**錐体外路徴候**である振戦、筋固縮、姿勢反射障害などを示す。3：クッシング病は、**下垂体**疾患として、コルチゾールの過剰によって様々な代謝異常をきたし、肥満や満月様顔貌、高血圧を呈する。"
371,臨床医学総論,3,第31回,問題46,1 症候,A. 全身の症候,中枢性めまいの特徴について正しいのはどれか。,1. 持続時間が長い。,2. めまいの程度が強い。,3. 回転性のことが多い。,4. 耳鳴りを伴うことが多い。,1,"中枢性めまいは、脳血管障害による小脳病変や聴神経腫瘍、髄膜炎などが原因で起こる。回転性は**少なく**、程度も**軽い**が、数日以上**1：持続**する。一方、末梢性めまいは内耳の障害で起こり、**2：めまいの程度が強く**、**3：回転性のことが多く**、**4：耳鳴り**を伴うことが多い。"
372,臨床医学総論,4,第28回,問題54,1 症候,A. 全身の症候,ショックの分類と原因の組合せで正しいのはどれか。,1. 血液量減少性ショック ── 熱傷,2. 心原性ショック ────── 緊張性気胸,3. 血液分布異常性ショック ── 心筋梗塞,4. 閉塞性ショック ────── 消化管出血,1,"1：熱傷による急激な**体液量**の減少により血液量減少（低用量性）ショックが起こる。2：心原性ショックは心臓のポンプ機能が低下して起こるもので、**心筋梗塞**や**心不全**などで発症する。3：血液分布異常性ショックは自律神経の異常などにより血管が拡張し、内容量が不足することによるもので、**感染症**や**アナフィラキシー**により起こる。また、4：閉塞性ショックは心臓以外の臓器の障害により心臓のポンプ機能の低下が起こるもので、**緊張性気胸**、**肺塞栓**などが原因となる。"
373,臨床医学総論,5,第31回,問題44,1 症候,A. 全身の症候,ショックの分類で、患者の皮膚が温かい場合に考えられるのはどれか。,1. 心原性,2. 閉塞性,3. 血液量減少性,4. 血液分布異常性,4,"ショックの臨床症状としては、蒼白、虚脱、冷汗、脈拍の不触知、呼吸不全の5つがある。ただし、**4：血液分布異常性**では皮膚の表在性血管が拡張して、むしろ温かくなることがあり、ウォームショックと呼ばれている。"
374,臨床医学総論,6,第34回,問題47,1 症候,B. 皮膚・外表,疾患と粘膜皮膚病変の組合せで正しいのはどれか。,1. 全身性エリテマトーデス ── ヘリオトロープ疹,2. 肝硬変 ────────── 蝶形紅斑,3. 麻疹 ────────── コプリック斑,4. 皮膚筋炎 ──────── バラ疹,3,"全身性エリテマトーデス（SLE）では、**蝶形紅斑**がみられ、ヘリオトロープ疹は**皮膚筋炎**でみられる。肝硬変では、腹壁静脈怒張（**メズサの頭**）がみられる。麻疹では、隆起した白色の斑点（**コプリック斑**）がみられる。バラ疹は、**梅毒**の感染により赤い発疹がみられる。"
375,臨床医学総論,7,第27回,問題54,1 症候,C. 感覚器,感音性難聴がみられるのはどれか。,1. 急性中耳炎,2. メニエール病,3. 耳管狭窄症,4. 耳垢栓塞,2,"**感音性難聴**は、内耳から中枢の内耳神経といった感音系の障害による難聴を指す。2：メニエール病は内耳の半規管や蝸牛の内リンパ水腫が原因であり、耳鳴・難聴・めまいが出現する。一方、外耳から中耳の障害による難聴は**伝音性難聴**という。1：**急性中耳炎**は中耳の炎症、3：**耳管狭窄症**は中耳（鼓室）と咽頭をつなぐ耳管が狭窄することによる異状、4：**耳垢栓塞**は外耳道が耳垢により閉塞することによる難聴で、いずれの場合も難聴があれば伝音性難聴である。"
376,臨床医学総論,8,第27回,問題50,1 症候,D. 呼吸器、心臓、血管,咳・痰について正しいのはどれか。,1. 痰を伴う咳を乾性咳嗽という。,2. 気管支喘息の発作時は咳・痰は通常ない。,3. 血痰が出ても少量なら肺癌は考えない。,4. 誤嚥時の咳・痰は防御反応の一つである。,4,"**誤嚥**は、何らかの原因により食道から胃に送られるべき飲食物が喉頭、気管に入ることをいう。気管に異物が入ると、通常は異物を排出しようとする反射（気道防御反射）が働き、強く咳き込む。これは防御反応の一つである。1：**痰を伴う咳**は湿性咳嗽という。2：**気管支喘息**の発作時には、咳・痰が出ることが多い。3：**血痰**が出る場合には、喉頭、咽頭や気管支、肺などに組織損傷がある可能性が考えられる。肺癌の場合、血痰が初発症状である場合も多いことから疑う必要がある。"
377,臨床医学総論,9,第28回,問題50,1 症候,D. 呼吸器、心臓、血管,咳嗽について正しいのはどれか。,1. 誤嚥では生じない。,2. 生体防御反応の一つである。,3. 心不全では生じない。,4. 長期間持続するときは鎮咳薬で経過をみる。,2,"咳嗽は気管内の異物を排除し、清潔に保とうとする生体防御反応である。1：誤嚥による気道への刺激でも生じる。3：心不全では**肺うっ血や肺水腫**となり、呼吸困難や咳嗽が出現する。4：長期間持続する場合は、呼吸器だけではなく、その他の疾患も視野に入れて原因疾患を明確にする検査を行うべきと考えられる。"
378,臨床医学総論,10,第30回,問題44,1 症候,D. 呼吸器、心臓、血管,呼吸器症状について正しいのはどれか。,1. 気胸は胸痛の原因となる。,2. 喘息による咳は昼間に多い。,3. 痰を伴わない咳を湿性咳嗽という。,4. 動脈血酸素飽和度が正常であれば呼吸困難は呈さない。,1,"1：鍼灸治療の有害事象例として、鍼治療後に発生する可能性がある。胸膜に神経があるため、突然**痛み**を訴え、その後、**空咳や息苦しさ**が出現する。"
379,臨床医学総論,11,第34回,問題41,1 症候,D. 呼吸器、心臓、血管,呼吸器疾患と症状の組合せで最も適切なのはどれか。,1. 間質性肺炎 ── 乾性咳嗽,2. 細菌性肺炎 ── 白色痰,3. 気管支喘息 ── 昼間の咳,4. COPD ───── 発作性呼吸困難,1,"間質性肺炎では、痰が絡まない**乾性咳嗽**を認める。細菌性肺炎では、細菌感染により白血球が混ざり、変色した粘り気のある**膿性痰**を認める。気管支喘息の症状は**日中よりも夜間**に悪化する場合が多く、**就寝時よりも就寝後深夜から明け方**に発作が出現する。COPDは、**長引く咳や痰、労作時の息切れ**などを主症状とする。"
380,臨床医学総論,12,第25回,問題52,1 症候,E. 消化器,吐血の原因となる疾患はどれか。,1. 大腸憩室炎,2. マロリー・ワイス症候群,3. 過敏性腸症候群,4. 急性膵炎,2,"2：**マロリー・ワイス症候群**は過度の飲酒などの原因により、嘔吐を繰り返すことで胃・食道接合部付近を傷害して吐血するものである。1：大腸憩室炎では下血となる。3：**過敏性腸症候群**では出血することはない。4：**急性膵炎**の重症例では、消化管出血による下血や腹腔内出血がみられることがある。"
381,臨床医学総論,13,第34回,問題42,1 症候,E. 消化器,消化管出血について正しいのはどれか。,1. 上部消化管出血では下血を認めない。,2. 胃からの出血ではコーヒー残渣様吐血をみる。,3. 吐血を伴う腹痛には非ステロイド性鎮痛解熱薬を投与する。,4. 免疫学的便潜血検査は獣肉の生食で陽性となる。,2,"1：上部消化管からの出血は**吐血**、それ以外の消化管出血は**下血**という。血液は胃液によってヘモグロビンが変化し、時間の経過とともに**赤→暗赤→黒褐色**と色が変化する。黒褐色のものは**コーヒー残渣様**と表現され、**胃・十二指腸潰瘍**によるものが多い。非ステロイド性鎮痛解熱薬（NSAIDs）の服用により胃の粘膜を保護するプロスタグランジンの生成が抑制され、NSAIDs潰瘍による**腹痛・吐血**を引き起こす可能性があることから、吐血を含む腹痛には投与しない。免疫学的便潜血検査は**ヒトヘモグロビン**にのみ反応することから獣肉による影響を受けない。"
382,臨床医学総論,14,第25回,問題54,1 症候,E. 消化器,口渇をきたすのはどれか。,1. 高血圧症,2. 脂質異常症,3. 高尿酸血症,4. 糖尿病,4,"口渇が最も考えられるのは4：**糖尿病**である。糖尿病では、高血糖により血漿浸透圧が上昇する。また、尿糖の増加により尿浸透圧が上昇し、尿量が増加する。それらの結果から口渇をきたす。1〜3の疾患では口渇がみられることは少ない。"
383,臨床医学総論,15,第33回,問題44,1 症候,E. 消化器,便秘の原因で最も適切なのはどれか。,1. オピオイド内服,2. 胃切除,3. ノロウイルス感染,4. 乳糖不耐症,1,"便秘の原因は多岐にわたるが、1は機能性便秘の中で排便回数減少型である**薬剤性（向精神薬や抗コリン薬など）**による腸管蠕動運動低下が考えられる。2、3、4は、いずれも**下痢**の原因となる。"
384,臨床医学総論,16,第27回,問題51,1 症候,F. 血液、造血器、免疫,血液疾患に伴う病態について正しいのはどれか。,1. 貧血は血小板を指標にする。,2. 出血傾向は先天的には起こらない。,3. 白血球数が正常であれば易感染性はない。,4. 繰り返す歯肉出血は出血傾向を疑う。,4,"4：**歯肉からの出血**は歯肉炎や歯槽膿漏の場合も多いが、それらがなければ出血傾向を疑う。1：**貧血**は血液中のヘモグロビン量を指標とする。2：**出血傾向**は血友病や血小板減少症など、先天的に起こるものは多い。3：**白血球数の低下**は易感染性となるが、正常であってもその他の免疫機構に異常があれば易感染性となることは考えられる。"
385,臨床医学総論,17,第29回,問題39,1 症候,F. 血液、造血器、免疫,易感染性をきたさないのはどれか。,1. 高齢,2. 糖尿病,3. 肺結核症,4. 重度の熱傷,3,"易感染性とは、治療に難治性である、弱毒病原体によっても容易に感染を起こしやすい状態のこと。1：**高齢**、2：**糖尿病**は、**好中球の減少および機能不全**により起こり、4：**重度の熱傷**は、**皮膚・粘膜の障害**により起こる。3：肺結核症は、結核菌を吸い込むことで感染するが、AIDSなどの免疫機能低下がなければ、感染しても発症する率は約10%と低い。"
