全体通し番号	教科	教科での番号	試験の回数	試験の番号	大項目	中項目	問題	選択肢1	選択肢2	選択肢3	選択肢4	答え	解説
975	経絡経穴概論	1	第33回	問題107	1 経絡の意義	A. 正経十二経脈	経絡系統について正しいのはどれか。	1. 経絡は正経十二経脈と奇経八脈で構成される。	2. 経脈には十二経別が含まれる。	3. 十二経筋は中焦から始まる。	4. 十二皮部は臓腑と属絡関係にある。	2	【解説】1：経絡は経脈（**正経十二経脈**、**十二経別**、**奇経八脈**）と絡脈（**十五絡脈**、**孫絡**）で構成される。2：経脈には十二経別が含まれる。3：十二経筋は**四肢末端に始まり頭部や体幹**に終わる。4：十二皮部は正経十二経脈が流注している体表面における**皮膚**の支配領域である（図1参照）。
976	経絡経穴概論	2	第27回	問題103	1 経絡の意義	A. 正経十二経脈	正経十二経脈の説明で正しいのはどれか。	1. 陽経は臓に属して脇に絡する。	2. 手の三陽経は顔面部から手部に流れる。	3. 経脈は上焦に起こり足の厥陰経で一巡する。	4. 経脈は各々が独立しながらも連絡している。	4	【解説】正経十二経の走行には、一定の法則がある。①手の三陰経（肺経、心経、心包経）は、胸部から手部。手の三陽経（大腸経、小腸経、三焦経）は、手部から顔面部、頭部。足の三陽経（胃経、膀胱経、胆経）は、顔面部、頭部から足部。足の三陰経（脾経、腎経、肝経）は、足部から胸部に流れている。②胸部から手部→手部から顔面、頭部→顔面部、頭部から足部→足部から胸部に循環している。③経脈は、中焦に起こる肺経から始まり、正経十二経を順に連絡し、足の厥陰肝経で一巡し、循環する環を形成して再び中焦に戻る。④陰経は臓に属して腑を絡し、陽経は腑に属して臓を絡う。ゆえに4：「経脈は各々が独立しながらも連絡している」が正しい。
977	経絡経穴概論	3	第31回	問題107	1 経絡の意義	A. 正経十二経脈	胸中で接続する経脈の井穴の組合せで正しいのはどれか。	1. 商陽 ── 厲兌	2. 隠白 ── 少衝	3. 少沢 ── 至陰	4. 湧泉 ── 中衝	4	【解説】それぞれの井穴の経脈と接続部は、1：商陽（手の陽明**大腸経**）と厲兌（足の陽明**胃経**）の接続部は**鼻翼外方**、2：隠白（足の太陰**脾経**）と少衝（手の少陰**心経**）の接続部は**心中**、3：少沢（手の太陽**小腸経**）と至陰（足の太陽**膀胱経**）の接続部は**内眼角**、4：湧泉（足の少陰**腎経**）と中衝（手の厥陰**心包経**）の接続部は**胸中**となる（図2参照）。
978	経絡経穴概論	4	第29回	問題107	1 経絡の意義	A. 正経十二経脈	外眼角で接続する経脈の井穴の組合せで正しいのはどれか。	1. 少商 ── 商陽	2. 少沢 ── 至陰	3. 湧泉 ── 中衝	4. 関衝 ── 足竅陰	4	【解説】井穴の経穴より経絡名を理解していることが前提。1：少商は手の太陰肺経、商陽は手の陽明大腸経で接続部は「**手示指端**」。2：少沢は手の太陽小腸経、至陰は足の太陽膀胱経で接続は「**内眼角**」。3：湧泉は足の少陰腎経、中衝は手の厥陰心包経で接続は「**胸中**」、4：関衝は手の少陽三焦経、足竅陰は、足の少陽胆経で「**外眼角**」で接続している（図2参照）。
979	経絡経穴概論	5	第27回	問題104	1 経絡の意義	A. 正経十二経脈	経脈間の接続とその部位の組合せで正しいのはどれか。	1. 手の陽明経から足の陽明経 ── 内眼角	2. 足の太陰経から手の少陰経 ── 側胸部	3. 足の少陰経から手の厥陰経 ── 胸中	4. 手の太陽経から足の太陽経 ── 外眼角	3	【解説】経脈間の接続とその部位との組み合わせで、正しいのは、3：「足の少陰経から手の厥陰経 ── **胸中**」である（図2参照）。その他の選択肢の接続とその部位については、手の陽明経から足の陽明経は、**鼻翼外方**。足の太陰経から手の少陰経は、**心中**。手の太陽経から足の太陽経は、**内眼角**。選択肢2、3は「**心中**」と「**胸中**」で間違えやすいので注意したい（図2参照）。
980	経絡経穴概論	6	第25回	問題102	1 経絡の意義	A. 正経十二経脈	内眼角で接続する経脈の井穴の組合せで正しいのはどれか。	1. 隠白 ── 少衝	2. 商陽 ── 厲兌	3. 関衝 ── 足竅陰	4. 少沢 ── 至陰	4	【解説】内眼角で接続する経脈の井穴の組合せで正しいのは、4：「**少沢 ── 至陰**」である。内眼角で接続する経脈は、小腸経と膀胱経である。小腸経の井穴は少沢、膀胱経の井穴は至陰である（図2参照）。
981	経絡経穴概論	7	第30回	問題119	1 経絡の意義	A. 正経十二経脈	所属経脈が表裏関係にあるのはどれか。	1. 頭竅陰と足竅陰	2. 手五里と足五里	3. 腰陽関と膝陽関	4. 腹通谷と足通谷	4	【解説】1：頭竅陰と足竅陰はともに**足の少陽胆経**。2：手五里は**手の陽明大腸経**、足五里は**足の厥陰肝経**で表裏関係にない。3：腰陽関は**督脈**、膝陽関は**足の少陽胆経**で表裏関係にない。4：腹通谷は**足の少陰腎経**で足通谷は**足の太陽膀胱経**となり表裏関係にある。
982	経絡経穴概論	8	第34回	問題107	1 経絡の意義	A. 正経十二経脈	足から腹部に至り任脈、胆経、肝経と交わるに至る経脈はどれか。	1. 陰蹺脈	2. 陰維脈	3. 足太陰脾経	4. 足少陰腎経	3	【解説】1：陰蹺脈は**照海**から起こり腎経の別脈といわれている。2：陰維脈は腎経の**築賓**から起こる。3：足太陰脾経は足から腹部に至り**任脈**、**胆経**と交わり舌に至る。4：足少陰腎経は**足の第5指の下**に起こり、脊柱を貫いて腸、膀胱、肝、肺に入り舌根をはさむ。
983	経絡経穴概論	9	第26回	問題102	1 経絡の意義	A. 正経十二経脈	経脈の走行について正しいのはどれか。	1. 頸部では胃経と小腸経の間を大腸経が上行する。	2. 腹部では腎経と胃経の間を脾経が上行する。	3. 前胸界面では大腸経と三焦経の間を小腸経が上行する。	4. 下腿内側では肝経と脾経の間を腎経が上行する。	1	【解説】経脈の走行に関する問題。1：「頸部では**胃経**と**小腸経**の間を**大腸経**が上行する」が正しい。その他の選択肢における正しい走行は次の通りである。2：腹部では腎経と**脾経**の間を**胃経**が下行する。3：前胸界面では大腸経と**小腸経**の間を**三焦経**が上行する。4：下腿内側では、脾経と**腎経**の間を**肝経**が上行する。
984	経絡経穴概論	10	第30回	問題107	1 経絡の意義	A. 正経十二経脈	経脈の流注で生殖器をめぐるのはどれか。	1. 足の陽明経	2. 足の太陰経	3. 足の少陰経	4. 足の厥陰経	4	【解説】それぞれに対応する臓腑は、1は足の陽明胃経、2は足の太陰脾経、3は足の少陰腎経、4は足の厥陰肝経となる。この中で生殖器をめぐるのは、**足の厥陰肝経**である。
