全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
1,医療概論,1,第32回,問題1,1 現代の医療と社会,A. 医療と社会,医療法において、地域の医療従事者の研修実施が規定されているのはどれか。,1. 介護老人保健施設,2. 地域医療支援病院,3. 特定機能病院,4. 臨床研究中核病院,2,"【解説】医療法で、地域の医療従事者の資質向上のための研修を行う能力を有することが定められているのは**地域医療支援病院**である。医療法において、**特定機能病院**は、高度な医療技術の開発および評価を行う能力を有することや、高度な医療を提供、高度な医療に関する研修を行うことなどが規定されている。**臨床研究中核病院**は、先進的な医療施設を有し、質の高い医療サービスの提供能力があること、研究施設や実験設備が整い、臨床試験を管理運営する体制があることなどが医療法で定められている。"
2,医療概論,2,第34回,問題1,1 現代の医療と社会,A. 医療と社会,我が国の2023年度の指定難病において、受給者証所持者数が最も多いのはどれか。,1. パーキンソン病,2. 潰瘍性大腸炎,3. 全身性エリテマトーデス,4. クローン病,2,"【解説】厚生労働省衛生行政報告例によると、2023年度の受給者証所持者数は、**パーキンソン病**で147,481名、**潰瘍性大腸炎**は146,702名、**全身性エリテマトーデス**は66,307名、**クローン病**は52,108名である。"
3,医療概論,3,第25回,問題1,1 現代の医療と社会,B. 医療従事者,急性期病院からの退院支援において、患者および家族と相談する際に同席すべき院内の職種として最もふさわしいのはどれか。,1. 保健師,2. 臨床心理士,3. 管理栄養士,4. 医療ソーシャルワーカー,4,"【解説】患者が抱えるさまざまな問題を総合的に理解し、質の高い医療を提供するために、**チーム医療**の体制が一般化しつつある。チーム医療において、1：**保健師**は対人医療保健分野で、患者に対する保健指導や療養上の指導などを行う。3：**管理栄養士**は専門的知識や技術を要する栄養指導や給食管理などを行う。2：**臨床心理士**は心理療法や精神科リハビリテーションを行う。4：**医療ソーシャルワーカー**は社会保障や社会福祉制度に関する相談や調整を行う。以上のことから、最もふさわしいのは4となる。なお、臨床心理士と医療ソーシャルワーカーは、法律に規定されていない職種である。"
4,医療概論,4,第32回,問題4,1 現代の医療と社会,B. 医療従事者,ケアプランを作成できる職種はどれか。,1. 社会福祉士,2. ホームヘルパー,3. 介護支援専門員,4. 医療ソーシャルワーカー,3,"【解説】**介護支援専門員（ケアマネジャー）**は、要支援・要介護認定者およびその家族から相談を受け、ケアプラン（介護サービスの給付計画）の作成、要介護認定の申請を行う。社会福祉士は、医療・福祉・教育・行政機関等にて、日常生活を営むのに支障がある人の福祉に関する相談に応じ、助言や指導、援助を行う。ホームヘルパーは、訪問介護員ともいい、訪問介護を行う者。他、問題3の解説も参照。"
5,医療概論,5,第31回,問題1,1 現代の医療と社会,B. 医療従事者,多職種連携によるチーム医療について望ましいのはどれか。,1. リーダーを特定の職種に固定する。,2. 職種間で目的と情報を共有する。,3. 他の職種の業務内容に立ち入らない。,4. 患者・家族は参加しない。,2,"【解説】**チーム医療**とは、「医療に従事する多種多様な医療スタッフが、各々の高い専門性を前提に、目的と情報を共有し、業務分担しつつ互いに連携・補完し合い、患者の状況に対応した医療を提供すること」と一般的に理解されている（平成22年 厚生労働省 チーム医療の推進について）。"
6,医療概論,6,第32回,問題3,1 現代の医療と社会,B. 医療従事者,チーム医療を推進するのに望ましくないのはどれか。,1. 職種による専門性,2. 職種間の情報共有,3. 職種間の上下関係,4. 職種による業務分担,3,正解5の解説を参照。
7,医療概論,7,第34回,問題3,1 現代の医療と社会,B. 医療従事者,名称独占に加えて、業務独占を伴う医療従事者はどれか。,1. 理学療法士,2. 作業療法士,3. 保健師,4. 看護師,4,"【解説】国家資格は、**業務独占資格**、**名称独占資格**、設置義務資格に分類される。業務独占資格は、特定の業務について、資格を有する者のみがその業務に従事することを認められている資格をいう。医師、歯科医師、薬剤師、看護師などがこれに該当する。名称独占資格とは、特定の名称について、資格を有する者のみがその名称を用いることができる資格をいう。理学療法士、作業療法士、保健師などが該当する。医師、薬剤師、**看護師**は業務独占資格であり、名称独占資格でもある。"
8,医療概論,8,第27回,問題1,1 現代の医療と社会,C. 医療・福祉施設,介護及び機能訓練その他必要な医療並びに日常生活の世話を行うことを目的とするのはどれか。,1. 介護老人保健施設,2. 介護老人福祉施設,3. 地域包括ケア病棟,4. グループホーム,1,"【解説】1：介護老人保健施設は、病院を退院した高齢者を対象に、家庭復帰までのケアを行う中間施設。リハビリテーション、看護、医学的管理に基づく**介護**などが行われる。2：介護老人福祉施設は常時介護を必要とする高齢者を入所させる施設で、**生活介護が中心**となる。3：地域包括ケア病棟は、急性期の治療が終了し、病状が安定した患者に対し在宅復帰に向けて診療、看護、リハビリが行われる。4：グループホームは、住宅で数人の心身障害者などが共同生活する形態であり、食事提供や相談など**日常の生活援助**が行われる。"
9,医療概論,9,第28回,問題1,1 現代の医療と社会,C. 医療・福祉施設,要介護者に対して、居宅、通所、短期入所により、入浴、排泄、食事等の介護、その他の日常生活上の世話や機能訓練を行うのはどれか。,1. 小規模多機能型居宅介護,2. 認知症対応型共同生活介護,3. 定期巡回・随時対応型訪問介護看護,4. 地域密着型通所介護,1,"【解説】2：認知症対応型共同生活介護（グループホーム）は、認知症を持つ高齢者が9人以下で共同生活する住居におけるサービスである。3：定期巡回・随時対応型訪問介護看護は重度者をはじめとした要介護高齢者の在宅生活を支えるため、24時間対応で訪問介護と訪問看護が密接に連携しながら随時対応を行うもの。4：地域密着型通所介護のサービスに、宿泊は含まれない。"
10,医療概論,10,第29回,問題3,1 現代の医療と社会,C. 医療・福祉施設,地域医療計画の策定における第三次医療圏の区域に相当するのはどれか。,1. 市町村単位,2. 広域市町村単位,3. 都道府県単位,4. 広域都道府県単位,3,"【解説】医療圏とは医療法によって定められた都道府県が制定する病床整備のための単位である。**第一次医療圏**は一般的な疾病の診断・治療に対応するために設置された地域医療単位で、**市町村**が圏域となる。**第二次医療圏**は病院予防から入院治療まで一般的な医療を提供する区域で、**複数の市町村**が圏域となる。**第三次医療圏**は精神病棟や感染症病棟、結核病棟などの専門的な医療、または高度で最先端の医療を提供する医療圏のことで、**都道府県**が圏域とされる。"
11,医療概論,11,第26回,問題1,1 現代の医療と社会,D. 医療経済,平成26年度の国民医療費について正しいのはどれか。,1. 40兆円を超える。,2. 介護保険の費用が含まれる。,3. 国民所得比は15％を超える。,4. 財源は患者負担が30％を超える。,1,"【解説】平成26年（2014年）度の国民医療費は**40兆8,071億円**で、40兆円を超えている。国民医療費が40兆円を超えたのは平成25年度からであり、**平成元（1989年）度**の約20兆円から2倍となった。1年に約1兆円のペースで増加し続けてきた。**介護保険**は平成12年度（2000年）から施行された医療保険から独立した社会保険制度で、その財源は医療保険とは別に徴収される。国民所得（NI）に対する比率は**11.20％**で、現在はほぼ横ばいである。国民医療費の財源は**医療保険が約50％**、**公費が約40％**で**患者負担は約10％**にとどまる。"
12,医療概論,12,第29回,問題1,1 現代の医療と社会,D. 医療経済,我が国の国民医療費の現状について正しいのはどれか。,1. 対国民所得比は15％を超える。,2. 国民医療費は50兆円を超える。,3. 財源は患者負担が30％を超える。,4. 国民一人あたりの医療費は年間30万円を超える。,4,"【解説】平成30年度（2018年）の国民医療費は**43兆3,949億円**で、前年に比べ0.8％の増加となっている。国民一人あたりの医療費は**34万3,200円**で、前年に比べ1.0％の増加となっている。国民所得（NI）に対する比率は**10.73％**となっている。国民医療費の財源は医療保険が49.4％、公費が38.1％、患者負担は11.8％で、前年とそう変わりはない。"
13,医療概論,13,第30回,問題2,1 現代の医療と社会,D. 医療経済,我が国の国民医療費に含まれるのはどれか。,1. 正常分娩の費用,2. 訪問看護の療養費費用,3. 入院時室料差額の費用,4. 予防接種の費用,2,"【解説】国民医療費には①診療療養費、②薬局調剤療養費、③訪問看護療養費（介護保険を除く）、④療養費が含まれる。正常な妊娠・分娩、健康診断、予防接種、室料差額類、歯科材料差額類などは含まれない。"
14,医療概論,14,第33回,問題2,1 現代の医療と社会,D. 医療経済,我が国の国民医療費に含まれるのはどれか。,1. 予防接種の費用,2. 健康診断の費用,3. 帝王切開の費用,4. 入院時室料差額の費用,3,問題13の解説を参照。
15,医療概論,15,第28回,問題2,2 社会保障制度,A. 医療保険のしくみ,加入者と医療保険の組合せで正しいのはどれか。,1. 自営業者――――――共済組合,2. 国家公務員―――――協会けんぽ,3. 私立学校教職員―――健康保険組合,4. 無職者―――――――国民健康保険,4,"【解説】医療保険には、健康保険、船員保険、国家公務員・地方公務員・私立学校教職員などの共済組合、および国民健康保険がある。健康保険は主に大企業の会社員とその家族（健康保険組合）、中小企業の会社員とその家族（協会けんぽ）、**船員保険**は船員とその家族が加入する。**自営業**や農業に従事するもの、被用者保険に加入していないものは**国民健康保険**の対象となる。"
16,医療概論,16,第30回,問題3,2 社会保障制度,A. 医療保険のしくみ,被用者保険でないのはどれか。,1. 船員保険,2. 共済組合,3. 協会けんぽ,4. 国民健康保険,4,問題1の解説参照。
17,医療概論,17,第31回,問題3,2 社会保障制度,A. 医療保険のしくみ,2017年の被用者保険で加入者が最も多いのはどれか。,1. 共済組合,2. 船員保険,3. 協会けんぽ,4. 組合管掌健康保険,3,"【解説】2017年の被用者保険の加入者は、**協会けんぽ**が3,522万人で最も多い。次いで、**健康保険組合（組合管掌健康保険と政府管掌健康保険）**の加入者は1,649万人、**共済組合**は453万人、**船員保険**は6万人である。"
18,医療概論,18,第25回,問題2,2 社会保障制度,A. 医療保険のしくみ,医療保険について正しいのはどれか。,1. 現金が支給されることはない。,2. 協会けんぽは被用者保険である。,3. 医師の同意を得た施術代は療養の対象となる。,4. 組合管掌保険は自由に付加給付を行うことができる。,2,"【解説】医療保険による給付は原則的に現物給付であるが、やむを得ない事情で保険証を提示できなかった場合や海外療養を受けた際の**傷病手当金**などに該当するため、現金給付となる。医師の同意を得た6つの疾患（神経痛、リウマチ、五十肩、頸腕症候群、腰痛症、頸椎捻挫後遺症）については療養費の対象となるが、それ以外の疾患では対象とならない。組合管掌保険における付加給付は、各組合が独自に行っているが、厚生労働省から自己負担金の金額に指導が入るなど、一定範囲内で行うことができる。**協会けんぽ（全国健康保険協会）**は、主に中小企業のサラリーマンと扶養者が被保険者として加入する被用者保険である。"
19,医療概論,19,第26回,問題2,2 社会保障制度,A. 医療保険のしくみ,公的医療保険の対象となるのはどれか。,1. インフルエンザの予防接種,2. 正常分娩,3. 人工ドック,4. 禁煙治療,4,"【解説】平成18年（2006年）より、ニコチン依存症が低い患者に対する禁煙治療が公的医療保険の適用となった。ただし、保険診療を適用する条件があり、これを満たさない場合には自由診療（患者が全額負担の診療）となる。公的医療保険の対象となるものは、**同国民医療費に含まれるもの**と考えれられるので、**予防接種**、**正常分娩**、**人間ドック**など国民医療費に含まれないものについては**公的医療保険適用外**と考えることができる。"
20,医療概論,20,第25回,問題3,2 社会保障制度,B. 公費負担医療,公費医療の対象とならないのはどれか。,1. 生活保護法による医療扶助,2. 労働基準法による業務上疾病の治療,3. 精神保健及び精神障害者福祉に関する法律による措置入院,4. 母子保健法による養育医療,2,"【解説】生活保護法による医療扶助および母子保健法による養育医療は、**社会福祉的な公費医療**である。精神保健及び精神障害者福祉に関する法律による措置入院は、**感染症予防・特定疾患に関する公費医療（指定難病）**などの公費医療がある。労働災害補償保険法（労災保険）が適用となる場合に格段に行われる給付で、**使用者（事業者）が費用を負担**する。"
21,医療概論,21,第33回,問題3,2 社会保障制度,B. 公費負担医療,公費医療の対象とならないのはどれか。,1. 生活保護法による医療扶助,2. 母子保健法による養育医療,3. 労働災害補償保険法による療養補償給付,4. 精神保健福祉法による措置入院,3,問題6の解説を参照。
22,医療概論,22,第32回,問題2,2 社会保障制度,B. 公費負担医療,難病に対する公費負担医療に期待される役割として最も適切なのはどれか。,1. 国家賠償,2. 公衆衛生,3. 社会福祉,4. 研究推進,4,"【解説】**特定疾患治療研究事業**とは、原因不明で治療法が未確立、いわゆる難病のうち、特定の疾患について治療研究事業推進することにより、医療の確立、普及を図るとともに、公費負担医療でその負担の軽減を図ることを目的とした事業である。"
23,医療概論,23,第29回,問題4,2 社会保障制度,C. 介護サービス行政,介護保険制度について正しいのはどれか。,1. 介護保険料は全国一律である。,2. 被保険者は75歳以上の者である。,3. 要介護認定の申請は市区町村に対して行う。,4. 地域包括支援センターは都道府県が設置する。,3,"【解説】介護保険制度はわが国の社会保険制度の一つであり、保険者は市区町村と特別区である。被保険者は**第1号被保険者（65歳以上の者）**、**第2号被保険者（40〜64歳の医療保険加入者）**とし、保険料はそれぞれ異なる。介護保険の利用には、保険者である市区町村および特別区に**要介護認定の申請**を行う必要がある。地域包括支援センターの設置主体は**市町村**であるが、在宅介護支援センターの運営法人、社会福祉法人、医療法人等の市町村から委託を受けた法人も設置することができる。"
24,医療概論,24,第27回,問題2,2 社会保障制度,C. 介護サービス行政,介護保険の第1号被保険者はどれか。,1. 18歳以上,2. 20歳以上,3. 40歳以上,4. 65歳以上,4,問題9の解説参照。
25,医療概論,25,第30回,問題1,2 社会保障制度,C. 介護サービス行政,介護保険制度の保険者はどれか。,1. 国,2. 都道府県,3. 市町村,4. 介護施設,3,問題9の解説参照。
26,医療概論,26,第34回,問題4,2 社会保障制度,C. 介護サービス行政,介護保険制度について正しいのはどれか。,1. 保険者は都道府県である。,2. 被保険者は75歳以上である。,3. 要介護の認定区分は5つである。,4. 介護報酬の改定は毎年行われる。,3,"【解説】介護レベル（要介護度）とは、公的な介護保険制度において要介護認定の申請の際に判定される介護の必要性の程度を表す指標で、**要支援1〜5**）ある。介護報酬の改定は**3年ごと**に行われる（問題9、11の解説も参照）。"
27,医療概論,27,第31回,問題2,3 医療倫理教育,B. 医療倫理教育,人生の最終段階に実施する医療を示すのはどれか。,1. QOL,2. ターミナルケア,3. バイオエシックス,4. ノーマライゼーション,2,"【解説】**QOL**とは「生活の質（Quality of Life）」のことで、緩和ケアなどで重要視される。**ターミナルケア**は「終末期医療」のことで、患者のさまざまな苦痛（トータルペイン）に対し適切な治療・処置を行うことで、最後までその人らしく生活できるようにするアプローチを意味する。**バイオエシックス**は「生命倫理」ともいわれ、生命に関わるさまざまな倫理的問題を扱う学問である。**ノーマライゼーション**は、障害者を特別視することなく、一般市民と同じ環境で、同じ条件で、家庭や地域で共に生活することを目指す概念である。"
28,医療概論,28,第26回,問題3,3 医療倫理教育,C. 施術者としての倫理,施術者の倫理について正しいのはどれか。,1. 業務上知り得た患者の秘密は研究目的であっても漏らしてはならない。,2. 「ヒポクラテスの誓い」は現代には通用しない。,1,"【解説】**患者の秘密（情報）については、個人情報の保護に関する法律（個人情報保護法）、医療・介護関係事業者における個人情報の適切な取扱いのためのガイドライン**、人を対象とする医学系研究に関する倫理指針などにより保護されている。「ヒポクラテスの誓い」は古代ギリシアで成立したが、医師の職業倫理を明文化した宣言とされ、その内容の一部は現在でも通用する内容となっている。現在の医療では**QOL（生活の質：Quality of Life）**は非常に重要視される。収益向上よりも優先される。日本独自のものはないが、「患者の権利宣言」を日本医師会などが採択している。ここに含まれる**インフォームド・コンセント**の概念や**守秘義務**については、それぞれ努力義務や規定が存在する。"
29,医療概論,29,第34回,問題2,3 医療倫理教育,C. 施術者としての倫理,あはき施術者の倫理について正しいのはどれか。,1. 施術者本位の施術,2. 施術者の利益優先,3. 患者家族の要求優先,4. 患者の苦痛への共感,4,"【解説】施術者本位の判断を優先したり、短絡的に患者の要求のみを優先したりして、患者との対話を省略インフォームド・コンセントを行わないことは、施術者の倫理として適切ではない。インフォームド・コンセントを実践することにより、施術者は患者に対して援助者としての立場を明確にし、双方の対話を通して信頼関係を築いていくことが重要である。"
30,医療概論,30,第28回,問題3,3 医療倫理教育,C. 施術者としての倫理,ヒトを対象とした医学研究の倫理について定めたのはどれか。,1. アルマ・アタ宣言,2. 患者の権利宣言,3. ジュネーブ宣言,4. ヘルシンキ宣言,4,"【解説】1：**アルマ・アタ宣言**―プライマリヘルスケア。2：**患者の権利宣言（リスボン宣言）**―自己決定権の尊重。3：**ジュネーブ宣言**―ヒポクラテスの誓い（医師の倫理）。4：**ヘルシンキ宣言**―ヒトを対象とした医学研究の倫理。"
31,医療概論,31,第33回,問題1,3 医療倫理教育,C. 施術者としての倫理,医学研究の倫理に関する宣言はどれか。,1. ジュネーブ宣言,2. ヘルシンキ宣言,3. リスボン宣言,4. アルマ・アタ宣言,2,問題4の解説を参照。
32,医療概論,32,第29回,問題2,3 医療倫理教育,C. 施術者としての倫理,患者が治療に対して積極的関わり、その決定を遵守するのはどれか。,1. アドヒアランス,2. コンプライアンス,3. 患者の自己決定権,4. インフォームド・コンセント,1,"【解説】**アドヒアランス**とは患者が治療方針の決定に賛同し積極的に治療を受けることで、医療従事者と患者の相互理解を基にした関係である。一方、**コンプライアンス**とは患者が医療従事者の指示通り治療を受けることで、医療従事者から患者への一方的な指導関係を意味する。**患者の自己決定権**とは自分自身について自由に決定を下す権利を有する事で、1981年の**リスボン宣言**で述べられている。"
33,医療概論,33,第27回,問題3,3 医療倫理教育,C. 施術者としての倫理,患者に対する施術者の役割で適切なのはどれか。,1. 援助者,2. 管理者,3. 指導者,4. 保護者,1,"【解説】近年の患者医師関係においては、**患者中心型医療**が主流となっている。患者と医師は対等の立場であり、医師は患者に対して**援助者**となることが求められる。医療従事者は医療に必要な患者の個人情報を扱うが、これらの情報は患者の同意に基づいて利用目的の範囲内での利用に限定されている（個人情報保護法）。また、あはき法やジュネーブ宣言においても業務上知り得た患者の秘密を尊重（守秘）することが求められている。"
