全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
1,関係法規,1,第28回,問題13,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,A. あん摩マッサージ指圧師、はり師、きゅう師免許の資格要件,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）で取り師、きゅう師免許を受けようとするとき、申請書に添える必要がないのはどれか。,1. 麻薬、大麻もしくはあへんの中毒者であるかないかに関する医師の診断書,2. 戸籍の謄本または抄本,3. はり師、きゅう師の学校または養成施設の卒業（修了）証明書,4. はり師国家試験、きゅう師国家試験合格証書の写し,3,"【解説】1、2、4：免許を受けようとする者は、申請書に**①合格証書の写し又は合格証明書**、**②戸籍の謄本もしくは抄本又は住民票の写し**、**③精神の機能の障害又は麻薬、大麻若しくはあへんの中毒者であるかないかに関する医師の診断書**を添付し、厚生労働大臣に提出しなければならない［あはき法施行規則第1条の3］。①については合格した試験の施行年月、受験地及び受験番号を記載した場合には書類の添付を省略することができる。 正解 3"
2,関係法規,2,第34回,問題11,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,B. あん摩マッサージ指圧師、はり師、きゅう師免許に関する事務など,あはき法で、はり師、きゅう師の免許の効力が発生するのはどれか。,1. 学校または養成施設を卒業したとき,2. はり師、きゅう師国家試験に合格したとき,3. はり師、きゅう師名簿に登録されたとき,4. 施術所開設の届出が受け付けられたとき,3,"【解説】3：施術者として業務を開始できるのは、免許申請書を提出し欠格事由該当性の有無の審査を経て、**施術者名簿に登録されたとき**である［あはき法第3条の3］。 正解 3"
3,関係法規,3,第29回,問題11,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,B. あん摩マッサージ指圧師、はり師、きゅう師免許に関する事務など,あはき法で、はり師名簿、きゅう師名簿の登録事項でないのはどれか。,1. 生年月日,2. 学校または養成施設の卒業年月日,3. 試験合格の年月日,4. 登録の消除をした年月日,2,"【解説】1：名簿の登録事項は**①登録番号と登録年月日**、**②本籍地都道府県名、氏名、生年月日、性別**、**③試験合格の年月**、**④免許取消し、業務停止**について、**⑤再交付**について、**⑥免許証の書換え交付・再交付**について、**⑦登録消除**についてである［あはき法施行規則第2条］。3：試験合格の年月でありは該当しない。 正解 2又は3"
4,関係法規,4,第31回,問題11,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,B. あん摩マッサージ指圧師、はり師、きゅう師免許に関する事務など,あはき法で、施術者が本籍地の都道府県を変更したときにしなければならないのはどれか。,1. 免許証の書換え交付申請,2. 免許証の再交付申請,3. 免許証の返納,4. 名簿登録事項の訂正申請,4,"【解説】1、2：法令上これらは任意手続きであり強制されることはない。3：**①名簿登録の消除**を申請するとき［あはき法施行規則第7条第1項］、**②免許を取り消されたとき**［あはき法第7条第1項］、**③免許証の再交付を受けた後に失った免許証を発見したとき**［あはき法施行規則第6条第5項］である。4：施術者が名簿登録事項（本籍地都道府県名・氏名・生年月日・性別）を変更したとき**は、30日以内に、戸籍謄本または抄本を添えて、厚生労働大臣に名簿の訂正申請をしなければならない**［あはき法施行規則第3条第1項］。 正解 4"
5,関係法規,5,第32回,問題13,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,B. あん摩マッサージ指圧師、はり師、きゅう師免許に関する事務など,あはき法に規定される申請・届出と、その期限の組み合わせで正しいのはどれか。,1. 国家試験合格時の免許申請 ── 30日以内,2. 氏名変更時の免許証書換え交付申請 ── 10日以内,3. 届出区域外での業務開始時の届出 ── 10日以内,4. 免許取消時の免許証返納 ── 5日以内,4,"【解説】1：免許は試験に合格した者に与えられるが免許申請に期限はない［あはき法第3条の3］。2：免許証の記載事項（本籍地都道府県名、氏名、生年月日）の変更、汚損、失ったときは免許証の再交付申請を行うが、法令上これらは任意手続きであり申請に期限はない［あはき法施行規則第5条の1、第6条の1］。3：あらかじめ、業務地の都道府県知事に届け出なければならない［あはき法第9条の4］。4：5日以内に免許証を厚生労働大臣に返納しなければならない［あはき法施行規則第7条第2項］。 正解 4"
6,関係法規,6,第25回,問題13,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,C. あん摩マッサージ指圧師、はり師、きゅう師の身分の消滅と復活,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、施術者が免許の取消し処分を受けたときに5日以内にしなければならないのはどれか。,1. 免許証の再交付を申請する。,2. 免許証を返納する。,3. 施術所の廃止を届け出る。,4. 名簿登録の消除を申請する。,2,"【解説】1：免許証を破り、汚し、または失ったときは、免許証の再交付を申請することができる［あはき法施行規則第6条］。また、失った免許証を発見したときは5日以内に、厚生労働大臣に返納しなければならない［あはき法施行規則第6条第5項］。2：免許を取り消されたときは、5日以内に、免許証を厚生労働大臣に返納しなければならない［あはき法第7条第2項］。3：施術所を開設、廃止、休止、再開または届出事項を変更した場合は**10日以内**に届け出なければならない［あはき法第9条の2］。4：名簿登録の消除の要件は、**①自らの意思**、**②死亡**、**③失踪の宣言**を受けたときである。施術者が死亡または失踪の宣言を受けたときは、届出義務者が**30日以内**に名簿の登録の消除を申請しなければならない［あはき法施行規則第4条第2項］。 正解 2"
7,関係法規,7,第33回,問題11,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,C. あん摩マッサージ指圧師、はり師、きゅう師の身分の消滅と復活,あはき法で、免許の取消処分を受けたときに5日以内に行わなければならないのはどれか。,1. 免許証再交付の申請,2. 免許証の返納,,2,【解説】2：問題6の解説を参照。 正解 2
8,関係法規,8,第26回,問題13,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,C. あん摩マッサージ指圧師、はり師、きゅう師の身分の消滅と復活 ●名簿登録の削除申請,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、免許証を返納しなければならないのはどれか。,1. 再交付を申請するとき,2. 書換え交付を申請するとき,3. 再免許を申請するとき,4. 名簿登録の消除を申請するとき,4,"【解説】1、2：申請書に免許証および必要書類を添えて提出する［あはき法施行規則第5条・規則第6条］。3：免許を取り消された者は5日以内に免許証を厚生労働大臣に返納しなければならない［あはき法第7条第2項］。よって再免許申請時には免許証は返納済である。4：免許証を返納するのは、①名簿登録の消除を申請するとき［あはき法第7条第1項］、②免許を取り消されたとき［あはき法第7条第2項］、③免許証の再交付を受けた後に失った免許証を発見したとき［あはき法施行規則第6条第5項］である。 正解 4"
9,関係法規,9,第27回,問題13,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,C. あん摩マッサージ指圧師、はり師、きゅう師の身分の消滅と復活 ●名簿登録の削除申請,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、免許証を返納しなければならないのはどれか。,1. 施術者が失踪宣言を受けたとき,2. 免許証の再交付を申請するとき,3. 免許証の書換え交付を申請するとき,4. 再免許を申請するとき,1,"【解説】1：施術者が死亡又は失踪宣言を受けたときは、戸籍法の届出義務者は名簿の登録の消除を申請しなければならない［あはき法施行規則第4条第2項］。また、名簿の登録の消除を申請するときは、免許証を厚生労働大臣に返納しなければならない［あはき法施行規則第7条第1項］。2、3、4：問題8の解説を参照。 正解 1"
10,関係法規,10,第26回,問題12,1 あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）における免許,C. あん摩マッサージ指圧師、はり師、きゅう師の身分の消滅と復活 ●名簿登録の削除申請,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、再免許を与えることができるのはどれか。,1. 免許取消しの事由に該当しなくなったとき,2. 免許証を紛失したとき,3. 誤って免許証を破ってしまったとき,4. 故意に免許証を汚したとき,1,"【解説】1：厚生労働大臣は、免許を取り消された者がその取消しの事由に該当しなくなったときは、**再免許**を与えることができる［あはき法第9条］。2、3、4：施術者は、免許証を破り、汚し、または失ったときは、免許証の**再交付**を申請することができる［あはき法施行規則第6条］。 正解 1"
11,関係法規,11,第31回,問題13,2 あん摩マッサージ指圧師、はり師、きゅう師等の施術所などに関する規制,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する業務,あはき法で、施術者の住所地の都道府県知事に届け出るよう定めているのはどれか。,1. 施術所を開設したときの届出,2. 区域外に滞在して業務を行う届出,3. 専ら出張のみによる業務を開始したときの届出,4. 休止していた施術所を再開したときの届出,3,"【解説】1、4：施術所を開設・休止・廃止・再開したときは、その旨を施術所の所在地の都道府県知事に届け出なければならない［あはき法第9条の2］。2：区域外に滞在して業務を行うときは、あらかじめ、業務を行う地の都道府県知事に届け出なければならない［あはき法第9条の4］。3：出張のみの場合は施術所の開設は必要ない。出張による施術を開始したときは、その旨を住所地の都道府県知事に届け出なければならない［あはき法第9条の3］。2、3：施術所の届出事項は①開設者の氏名及び住所②開設の年月日,3"
12,関係法規,12,第34回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等の施術所などに関する規制,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する業務,あはき法で、業務開始の届出が必要なのはどれか。,1. 専ら出張のみによって業務を行う施術者,2. 自らの施術所の開設届出を済ませている施術者,3. 施術所で新たに雇われる施術者,4. 自らの施術所の施術料金の改定をした施術者,1,"【解説】1：問題11の解説を参照。 正解 1"
13,関係法規,13,第28回,問題15,2 あん摩マッサージ指圧師、はり師、きゅう師等の施術所などに関する規制,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する業務,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律（あはき法）であらかじめ届け出なければならないのはどれか。,1. 専ら出張による業務を開始するとき,2. 休止していた施術所を再開するとき,3. 届出区域外に滞在して業務を行おうとするとき,4. 施術所を廃止しようとするとき,3,"【解説】1：専ら出張のみによってその業務に従事する施術者は、その旨を住所地の都道府県知事に届け出なければならない［第9条の3］。2、4：施術所を開設・休止・廃止・再開したときは、その日から**10日以内**に届け出なければならない［第9条の2］。3：届出区域外に滞在して業務を行おうとするときは、あらかじめ、業務を行う地の都道府県知事に届け出なければならない［第9条の4］。 正解 3"
14,関係法規,14,第25回,問題12,2 あん摩マッサージ指圧師、はり師、きゅう師等の施術所などに関する規制,C. あん摩マッサージ指圧師、はり師、きゅう師の施術所などに関する業務,あん摩マッサージ指圧師、はり師、きゅう師等に関する法律で、休止していた施術所を再開する際の必要な届出の期限はどれか。,1. 再開前7日以内,2. 再開前5日以内,3. 再開後10日以内,4. 再開後30日以内,3,"【解説】開設者は、施術所の開設・廃止・休止・再開・変更の日から**10日以内**にその旨を開設場所の都道府県知事に届け出なければならない［あはき法第9条の2］。 正解 3"
